,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs,Canonical SMILES
0,abrine,C496492,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,abrine results in decreased expression of BTN3A2 mRNA,decreases^expression,31054353,[{160511: 'CN[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O'}]
1,Acetaminophen,D000082,103-90-2,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Acetaminophen results in decreased expression of BTN3A2 mRNA,decreases^expression,21420995|29067470,[{1983: 'CC(=O)NC1=CC=C(C=C1)O'}]
2,Acrylamide,D020106,79-06-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Acrylamide results in decreased expression of BTN3A2 mRNA,decreases^expression,32763439,[{6579: 'C=CC(=O)N'}]
3,Acrylamide,D020106,79-06-1,BTN3A2,11118,mRNA,Rattus norvegicus,10116.0,Acrylamide results in increased expression of BTN3A2 mRNA,increases^expression,28959563,
4,allyl sulfide,C038491,592-88-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,allyl sulfide inhibits the reaction [tobacco tar analog results in decreased expression of BTN3A2 mRNA],decreases^expression|decreases^reaction,36758788,[{11617: 'C=CCSCC=C'}]
5,Antirheumatic Agents,D018501,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Antirheumatic Agents results in decreased expression of BTN3A2 mRNA,decreases^expression,24449571,
6,aristolochic acid I,C000228,313-67-7,BTN3A2,11118,mRNA,Homo sapiens,9606.0,aristolochic acid I results in decreased expression of BTN3A2 mRNA,decreases^expression,33212167,[{2236: 'COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O'}]
7,Arsenic Trioxide,D000077237,1327-53-3,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Arsenic Trioxide results in decreased expression of BTN3A2 mRNA,decreases^expression,27829220,[{14888: '[O-2].[O-2].[O-2].[As+3].[As+3]'}]
8,Aspirin,D001241,50-78-2,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Aspirin results in decreased expression of BTN3A2 mRNA,decreases^expression,15456535,[{2244: 'CC(=O)OC1=CC=CC=C1C(=O)O'}]
9,AZM551248,C547126,,BTN3A2,11118,mRNA,Canis lupus familiaris,9615.0,AZM551248 results in decreased expression of BTN3A2 mRNA,decreases^expression,22323515,
10,Benzo(a)pyrene,D001564,50-32-8,BTN3A2,11118,promoter,Homo sapiens,9606.0,Benzo(a)pyrene affects the methylation of BTN3A2 promoter,affects^methylation,27901495,[{2336: 'C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3'}]
11,bis(4-hydroxyphenyl)sulfone,C543008,80-09-1,BTN3A2,11118,gene,Homo sapiens,9606.0,bis(4-hydroxyphenyl)sulfone results in increased methylation of BTN3A2 gene,increases^methylation,31601247,[{6626: 'C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O'}]
12,bisphenol A,C006780,80-05-7,BTN3A2,11118,mRNA,Homo sapiens,9606.0,bisphenol A results in decreased expression of BTN3A2 mRNA,decreases^expression,22576693,[{6623: 'CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O'}]
13,bisphenol A,C006780,80-05-7,BTN3A2,11118,gene,Homo sapiens,9606.0,bisphenol A results in increased methylation of BTN3A2 gene,increases^methylation,22576693,
14,bisphenol A,C006780,80-05-7,BTN3A2,11118,mRNA,Rattus norvegicus,10116.0,bisphenol A results in decreased expression of BTN3A2 mRNA,decreases^expression,25181051,
15,CGP 52608,C092451,87958-67-6,BTN3A2,11118,gene,Homo sapiens,9606.0,CGP 52608 promotes the reaction [RORA protein binds to BTN3A2 gene],affects^binding|increases^reaction,28238834,"[{6509863: 'CNC(=S)N/N=C/1\\N(C(=O)CS1)CC=C'}, {5487510: 'CNC(=S)N/N=C\\1/N(C(=O)CS1)CC=C'}, {3036122: 'CNC(=S)NN=C1N(C(=O)CS1)CC=C'}]"
16,chromium hexavalent ion,C074702,18540-29-9,BTN3A2,11118,mRNA,Homo sapiens,9606.0,chromium hexavalent ion results in decreased expression of BTN3A2 mRNA,decreases^expression,30690063,[{29131: '[Cr+6]'}]
17,Cisplatin,D002945,15663-27-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,[Cisplatin co-treated with jinfukang] results in increased expression of BTN3A2 mRNA,affects^cotreatment|increases^expression,27392435,[{5702198: 'N.N.Cl[Pt]Cl'}]
18,Cisplatin,D002945,15663-27-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Cisplatin results in increased expression of BTN3A2 mRNA,increases^expression,27392435,
19,Copper,D003300,7440-50-8,BTN3A2,11118,mRNA,Homo sapiens,9606.0,[Disulfiram binds to Copper] which results in increased expression of BTN3A2 mRNA,affects^binding|increases^expression,24690739,[{23978: '[Cu]'}]
20,Copper Sulfate,D019327,7758-98-7,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Copper Sulfate results in decreased expression of BTN3A2 mRNA,decreases^expression,19549813,[{24462: '[O-]S(=O)(=O)[O-].[Cu+2]'}]
21,Cyclosporine,D016572,59865-13-3,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Cyclosporine results in decreased expression of BTN3A2 mRNA,decreases^expression,25562108,"[{5284373: 'CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C'}, {6435893: 'CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C'}, {5280754: 'CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C'}, {24883466: 'CC[C@@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C'}, {5497195: 'CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)[C@H]([C@H](C)C/C=C\\C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C'}, {25246316: 'CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)NC(C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C'}, {123134263: 'CC[C@@H]1C(=O)N(CC(=O)N([C@@H](C(=O)N[C@@H](C(=O)N([C@@H](C(=O)N[C@@H](C(=O)NC(C(=O)N([C@@H](C(=O)N([C@@H](C(=O)N([C@@H](C(=O)N(C(C(=O)N1)C([C@@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C'}]"
22,Cyclosporine,D016572,59865-13-3,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Cyclosporine results in increased expression of BTN3A2 mRNA,increases^expression,20106945|27989131,
23,diallyl disulfide,C028009,2179-57-9,BTN3A2,11118,mRNA,Homo sapiens,9606.0,diallyl disulfide inhibits the reaction [tobacco tar analog results in decreased expression of BTN3A2 mRNA],decreases^expression|decreases^reaction,36758788,[{16590: 'C=CCSSCC=C'}]
24,Diethylhexyl Phthalate,D004051,117-81-7,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Diethylhexyl Phthalate results in decreased expression of BTN3A2 mRNA,decreases^expression,31163220,[{8343: 'CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC'}]
25,Diethylstilbestrol,D004054,56-53-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Diethylstilbestrol results in increased expression of BTN3A2 mRNA,increases^expression,36621641,[{448537: 'CC/C(=C(/CC)\\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O'}]
