,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs,Canonical SMILES
0,"1,2,5,6-dibenzanthracene",C026486,53-70-3,C1QB,713,mRNA,Mus musculus,10090.0,"1,2,5,6-dibenzanthracene results in decreased expression of C1QB mRNA",decreases^expression,26377693,[{5889: 'C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32'}]
1,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,C1QB,713,mRNA,Mus musculus,10090.0,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane inhibits the reaction [Testosterone deficiency results in increased expression of C1QB mRNA]",decreases^reaction|increases^expression,33848595,[{18728: 'C1CC(C(CC1C(CBr)Br)Br)Br'}]
2,"1,2-Dimethylhydrazine",D019813,540-73-8,C1QB,713,mRNA,Mus musculus,10090.0,"1,2-Dimethylhydrazine results in increased expression of C1QB mRNA",increases^expression,22206623,[{1322: 'CNNC'}]
3,"1,2-Dimethylhydrazine",D019813,540-73-8,C1QB,713,mRNA,Mus musculus,10090.0,"Folic Acid inhibits the reaction [1,2-Dimethylhydrazine results in increased expression of C1QB mRNA]",decreases^reaction|increases^expression,22206623,
4,"1,2-dithiol-3-thione",C049325,,C1QB,713,mRNA,Rattus norvegicus,10116.0,"1,2-dithiol-3-thione results in decreased expression of C1QB mRNA",decreases^expression,19162173,[{68296: 'C1=CSSC1=S'}]
5,1-Naphthylisothiocyanate,D015058,551-06-4,C1QB,713,mRNA,Homo sapiens,9606.0,[1-Naphthylisothiocyanate co-treated with Cholic Acids] affects the expression of C1QB mRNA,affects^cotreatment|affects^expression,27344345,[{11080: 'C1=CC=C2C(=C1)C=CC=C2N=C=S'}]
6,1-Naphthylisothiocyanate,D015058,551-06-4,C1QB,713,mRNA,Rattus norvegicus,10116.0,1-Naphthylisothiocyanate results in increased expression of C1QB mRNA,increases^expression,25380136,
7,"2,2',4,4'-tetrabromodiphenyl ether",C511295,,C1QB,713,mRNA,Rattus norvegicus,10116.0,"2,2',4,4'-tetrabromodiphenyl ether results in decreased expression of C1QB mRNA",decreases^expression,31826744,[{95170: 'C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br'}]
8,"2,2,5,7,8-pentamethyl-1-hydroxychroman",C029141,950-99-2,C1QB,713,mRNA,Rattus norvegicus,10116.0,"2,2,5,7,8-pentamethyl-1-hydroxychroman results in decreased expression of C1QB mRNA",decreases^expression,21920950,[{99479: 'CC1=C(C2=C(CCC(O2)(C)C)C(=C1O)C)C'}]
9,"2,3',4,4',5-pentachlorobiphenyl",C070055,,C1QB,713,mRNA,Mus musculus,10090.0,"2,3',4,4',5-pentachlorobiphenyl results in increased expression of C1QB mRNA",increases^expression,31388691,[{35823: 'C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl'}]
10,"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,C1QB,713,mRNA,Danio rerio,7955.0,"3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of C1QB mRNA",decreases^expression,28973690,[{63090: 'C1=CC(=C(C=C1C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl)Cl'}]
11,"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,C1QB,713,mRNA,Homo sapiens,9606.0,"3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of C1QB mRNA",decreases^expression,23146750,
12,3-dinitrobenzene,C017906,99-65-0,C1QB,713,mRNA,Rattus norvegicus,10116.0,3-dinitrobenzene results in increased expression of C1QB mRNA,increases^expression,21983209,[{7452: 'C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]'}]
13,"4,4'-diaminodiphenylmethane",C009505,101-77-9,C1QB,713,mRNA,Mus musculus,10090.0,"4,4'-diaminodiphenylmethane results in decreased expression of C1QB mRNA",decreases^expression,18648102,[{7577: 'C1=CC(=CC=C1CC2=CC=C(C=C2)N)N'}]
14,"9,10-Dimethyl-1,2-benzanthracene",D015127,57-97-6,C1QB,713,mRNA,Mus musculus,10090.0,"9,10-Dimethyl-1,2-benzanthracene affects the expression of C1QB mRNA",affects^expression,21785161,[{6001: 'CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C'}]
15,A-83-01,C507011,,C1QB,713,mRNA,Mus musculus,10090.0,[IGF1 protein co-treated with MM-589 co-treated with A-83-01 co-treated with PTC-209] results in decreased expression of C1QB mRNA,affects^cotreatment|decreases^expression,31023824,[{16218924: 'CC1=NC(=CC=C1)C2=NN(C=C2C3=CC=NC4=CC=CC=C34)C(=S)NC5=CC=CC=C5'}]
16,acetamide,C030686,60-35-5,C1QB,713,mRNA,Rattus norvegicus,10116.0,acetamide results in increased expression of C1QB mRNA,increases^expression,31881176,[{178: 'CC(=O)N'}]
