mol_index,structure_id,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,transformation,left_fragment,right_fragment,flag,sascore
0,origin,S(c1n(C)cnc1[N+](=O)[O-])c1ncnc2nc[nH]c12,-2.628603,1.3558466,0.2636864,0.000131,0.1383768,0.010592,0.0071223,0.0097432,-4.9246078,5.2e-06,0.1057514,36.901394,1.1985497,56.33209,0.0306437,0.8075394,0.0461219,0.0587959,0.014824,0.6332798,0.0066249,0.0654387,0.0894632,0.166466,8.336815,0.7713592,0.0113021,0.8846381,0.986279,0.9319853,0.9878536,0.0909814,0.8040287,0.0737633,0.0493741,0.71893,0.9448556,0.2634462,4.741326,4.3972716,4.067109,0.0025582,0.0033501,0.8698382,0.9732036,0.1248789,0.0156473,0.8580686,0.7621264,0.0413735,0.0425997,0.2835762,0.8894181,,,,,3.1446925
1,Str_g_2608,CC(=O)n1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.684904,1.2818794,0.3143329,0.0001689,0.0214237,0.009394,0.00677,0.007593,-4.80866,5.9e-06,0.0528419,32.527866,0.8810909,62.177525,0.0328564,0.7870634,0.043225,0.0570385,0.0187956,0.5390829,0.0086584,0.0384637,0.0820295,0.1771068,6.4367785,0.7286774,0.0171815,0.8888903,0.9919488,0.9730418,0.9696404,0.1560071,0.8732239,0.0787285,0.0143368,0.2802433,0.9189038,0.2322328,4.744799,4.3572636,3.9316587,0.0064805,0.0041722,0.6117524,0.9750759,0.0554277,0.0157617,0.7824244,0.8600349,0.2102176,0.0870476,0.238388,0.9522135,[1*]C>>[1*]C(C)=O,[1*]C,[1*]C(C)=O,left,3.2837099
2,Str_g_2609,CC(C)n1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.851544,1.8828326,0.9415987,0.0001924,0.0328012,0.0148534,0.0085973,0.0179234,-4.809368,6.6e-06,0.0348629,41.75245,1.2351335,44.72213,0.0810956,0.8785879,0.0626532,0.0652082,0.0244148,0.5568287,0.0036837,0.0508762,0.1052494,0.4091604,10.563967,0.7153996,0.0198432,0.8690968,0.9859336,0.9855138,0.9780033,0.1236474,0.8424344,0.1155574,0.0313148,0.6496878,0.9656475,0.5910518,4.7143645,4.4043856,4.133492,0.0027898,0.0032536,0.9169672,0.9867611,0.2124521,0.3027612,0.7507897,0.8427577,0.0355011,0.0438417,0.2877135,0.921609,[1*]C>>[1*]C(C)C,[1*]C,[1*]C(C)C,left,3.232343
3,Str_g_2617,O=[N+]([O-])c1ncn(C(F)(F)F)c1Sc1ncnc2nc[nH]c12,-3.249288,2.2426,1.2271862,0.0001675,0.0017005,0.0059754,0.0084083,0.115356,-4.781436,1.69e-05,0.1336258,53.956455,0.8491011,46.394688,0.143344,0.8856401,0.077123,0.0627043,0.0340895,0.3379713,0.0124859,0.0453333,0.1605875,0.2759807,8.075454,0.7369988,0.0185297,0.8948051,0.9895834,0.9889477,0.9878935,0.4873774,0.7960438,0.2237828,0.0110853,0.1179071,0.9411642,0.5863992,4.870307,4.7976966,4.4266057,0.0017113,0.0044934,0.8627658,0.9844476,0.2100258,0.0378318,0.880519,0.8728406,0.0272008,0.0802379,0.3529571,0.9486541,[1*]C>>[1*]C(F)(F)F,[1*]C,[1*]C(F)(F)F,left,3.4408172
4,Str_g_2641,CCn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.7252145,1.684887,0.6691716,0.0001277,0.0639099,0.0096051,0.007147,0.0115469,-4.7833495,6.7e-06,0.0493941,35.761177,1.1226238,56.446945,0.0422722,0.7470806,0.0650621,0.0579982,0.0157862,0.553389,0.008143,0.0564953,0.0845998,0.1285186,10.446942,0.7608012,0.0206542,0.8680615,0.9880546,0.9874346,0.9793433,0.3522204,0.7968566,0.1236955,0.028829,0.7259884,0.924446,0.5021162,4.7799444,4.7561765,3.9699988,0.0017566,0.0033328,0.9097281,0.9844779,0.0865119,0.069155,0.8697097,0.8483301,0.1167363,0.1776626,0.2839627,0.9129044,[1*]C>>[1*]CC,[1*]C,[1*]CC,left,3.1967814
5,Str_g_2665,CCCn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.737907,1.9231726,0.9840252,0.0003345,0.0530984,0.0101954,0.0080653,0.0158362,-4.7081733,8e-06,0.0473837,54.06852,1.1434444,41.307762,0.1049761,0.4243216,0.1954452,0.0634477,0.0518551,0.6630014,0.025634,0.0606589,0.2596246,0.1403572,10.218682,0.7516524,0.0248597,0.8699155,0.9883838,0.9853069,0.9578995,0.2053904,0.6842186,0.1029807,0.0215062,0.5188128,0.8915204,0.5268206,4.760438,4.8179135,4.0702085,0.0025646,0.0033269,0.8567446,0.9829437,0.1174325,0.0969605,0.9054349,0.8556124,0.0544688,0.2776822,0.3804128,0.9193092,[1*]C>>[1*]CCC,[1*]C,[1*]CCC,left,3.1676398
6,Str_g_2712,COCCn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.0901344,1.4074032,0.1390956,0.0002706,0.0670508,0.0150701,0.0117543,0.093372,-4.765669,7.1e-06,0.2723989,28.489758,1.3224576,60.316097,0.0172654,0.9083533,0.0373611,0.0607428,0.0131318,0.5324155,0.0067618,0.0643485,0.1097503,0.1723374,7.4070215,0.7015065,0.0211441,0.8749569,0.990036,0.9951072,0.9457306,0.0446421,0.4746356,0.1368748,0.0090741,0.3023222,0.8517228,0.3891062,4.58988,4.4771585,3.970121,0.0018846,0.0045785,0.8421379,0.9820901,0.1126865,0.1571767,0.8762989,0.8431845,0.0582922,0.1256824,0.281567,0.9043479,[1*]C>>[1*]CCOC,[1*]C,[1*]CCOC,left,3.1682332
7,Str_g_2730,O=[N+]([O-])c1ncn(CO)c1Sc1ncnc2nc[nH]c12,-2.242095,0.7521676,-0.3296494,0.0002546,0.015037,0.0253785,0.0184532,0.0913904,-5.0300813,4.9e-06,0.2922481,26.688961,0.9902033,64.15361,0.0137719,0.7524082,0.0266189,0.0549674,0.0078163,0.5852728,0.0034443,0.0564632,0.0456732,0.0923244,5.82508,0.7788948,0.0178136,0.9531627,0.9916562,0.9925828,0.9398149,0.0376815,0.8746169,0.1834489,0.0211483,0.8797382,0.9467112,0.3789116,4.552353,4.3411937,3.3398745,0.0015785,0.0039538,0.8292438,0.9758891,0.0723931,0.0192691,0.6033361,0.7522694,0.0432067,0.0562421,0.2143105,0.9127464,[1*]C>>[1*]CO,[1*]C,[1*]CO,left,3.3456275
8,Str_g_2731,COCn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.3446412,1.4175186,0.125045,0.0002739,0.0462254,0.011999,0.014279,0.1829561,-4.814876,6.4e-06,0.164878,28.170025,1.1621207,62.547237,0.0162187,0.9318742,0.0276447,0.0574179,0.0080769,0.3817966,0.0046939,0.0555972,0.0452741,0.1190549,7.343245,0.6720643,0.0187189,0.9455858,0.9922463,0.9914081,0.9611501,0.0348748,0.7719648,0.1599289,0.0202885,0.8422564,0.9422692,0.4180044,4.761648,4.4666576,3.8027391,0.0014204,0.0053986,0.8636233,0.9820071,0.0848328,0.1805088,0.8377655,0.8614082,0.094432,0.1313209,0.2719107,0.917828,[1*]C>>[1*]COC,[1*]C,[1*]COC,left,3.2960236
9,Str_g_2763,O=[N+]([O-])c1ncn(Cl)c1Sc1ncnc2nc[nH]c12,-2.7895865,1.2226715,-0.5294724,0.000258,0.0156802,0.0089349,0.0064851,0.0121977,-4.8359056,6.1e-06,0.0257514,44.276466,1.1421129,47.721943,0.0688597,0.5648856,0.114047,0.0599182,0.0220924,0.6482177,0.0145897,0.0583541,0.2098496,0.1445392,9.1125345,0.7840836,0.0131501,0.9286032,0.9891071,0.994589,0.9731644,0.119253,0.6997335,0.1948464,0.0731109,0.8751276,0.9268326,0.3330326,4.8920097,4.640072,4.0264454,0.0033596,0.0042663,0.9065704,0.9768152,0.0814858,0.0417915,0.860558,0.8600641,0.067366,0.0450923,0.3843646,0.9182252,[1*]C>>[1*]Cl,[1*]C,[1*]Cl,left,3.4752874
